Realisation number,AIC fold,AIC hopf,AIC null
85,0.40815224012621243,0.5918287822351235,1.8977638664090538e-05
86,0.9999999999841138,1.120327075004404e-13,1.5774115287692724e-11
87,0.9999997541495937,2.449890565835242e-07,8.613496778647798e-10
88,0.9999999924964132,1.9763884918133832e-13,7.503389110738878e-09
89,0.9999999962755066,6.63748593521775e-14,3.7244269963061733e-09
90,0.9999999998069593,1.7450684318530593e-10,1.8533870507544767e-11
91,0.9999999706584901,1.1700413743323187e-12,2.9340339964510172e-08
92,0.9999999986566408,4.4932798824729e-12,1.338865919487869e-09
93,0.9998937559818081,0.00010624390830937462,1.0988247510680432e-10
94,0.9999999999976699,2.7776725555556377e-13,2.052446991483286e-12
95,0.9999999999918623,1.0482073975269153e-20,8.137668124893542e-12
96,0.9999999999999651,2.908979009659634e-23,3.4959793477225295e-14
97,0.9995304471495138,0.00040553010160591463,6.402274888014922e-05
98,0.9999896391896257,1.0360809833974392e-05,5.401301576541495e-13
99,0.9999809442275366,1.9053338596176747e-05,2.433867356590789e-09
100,4.818536815098284e-05,0.9999518146283619,3.486941486518917e-12
