Realisation number,AIC fold,AIC hopf,AIC null
82,0.9969785588542982,0.0010468983541889335,0.0019745427915128307
83,0.9992755706600424,0.00040314878734755297,0.00032128055261014727
84,0.999983002911852,6.191861737220919e-06,1.080522641057752e-05
85,0.9753313371204879,0.006351083988603947,0.018317578890908234
86,0.9999999814601807,8.721489655322949e-09,9.818329776739678e-09
87,0.9999938452663926,2.1291615225180787e-06,4.025572084833924e-06
88,0.9998698481050184,5.169580417194276e-05,7.84560908095604e-05
89,0.9999130667534613,3.8042489270295346e-05,4.8890757268603985e-05
90,0.9999925347360175,1.3262735192611564e-12,7.4652626562780966e-06
91,0.9999185548471294,1.5605211547479126e-07,8.128910075513678e-05
92,0.9999285848821576,4.189140129758741e-05,2.9523716544662606e-05
93,0.9999853766391695,5.694045648838548e-06,8.929315181585458e-06
94,0.999995518859392,2.7936475241834583e-06,1.6874930838205892e-06
95,0.9997111437901985,0.0002025316652146151,8.632454458697133e-05
96,0.9999755242774184,1.6971350451580503e-05,7.504372129947072e-06
97,3.256884607879391e-05,0.9999582523143642,9.178839557091729e-06
98,0.9999999995662718,1.207666773623749e-10,3.1296142847902933e-10
99,0.9997146901234648,0.00011166866631437588,0.00017364121022080483
100,0.9724982358399489,0.02741738107328141,8.438308676977806e-05
